neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Mimico (includes Humber Bay Shores),43.62575,-79.48815,Private room,200,7,0,365
Little Portugal,43.65007,-79.42560999999999,Private room,69,2,201,311
Waterfront Communities-The Island,43.64147,-79.39269,Entire home/apt,199,3,11,0
Palmerston-Little Italy,43.66101,-79.42695,Entire home/apt,90,2,3,0
Trinity-Bellwoods,43.652390000000004,-79.40902,Private room,52,3,180,344
Trinity-Bellwoods,43.65159,-79.40827,Private room,50,3,99,347
High Park-Swansea,43.64842,-79.4546,Entire home/apt,245,6,3,12
Palmerston-Little Italy,43.657070000000004,-79.41011,Entire home/apt,99,3,1,0
Greenwood-Coxwell,43.68181,-79.32462,Entire home/apt,250,3,33,361
Bay Street Corridor,43.66525,-79.38752,Entire home/apt,121,2,51,350
East End-Danforth,43.686170000000004,-79.29311,Entire home/apt,119,3,28,122
Waterfront Communities-The Island,43.64317,-79.38044000000001,Entire home/apt,170,1,71,335
Bay Street Corridor,43.654090000000004,-79.38456,Entire home/apt,130,20,8,246
Niagara,43.63803,-79.41904,Entire home/apt,130,3,13,0
South Riverdale,43.660959999999996,-79.34763000000001,Entire home/apt,115,7,7,0
Church-Yonge Corridor,43.6706,-79.38091,Entire home/apt,135,180,53,365
Dufferin Grove,43.65354,-79.43508,Entire home/apt,90,2,190,324
Woodbine Corridor,43.67666,-79.31322,Private room,69,4,40,12
Moss Park,43.65759,-79.37071999999999,Private room,65,3,10,326
Parkwoods-Donalda,43.753209999999996,-79.33166,Private room,50,30,10,197
Waterfront Communities-The Island,43.63712,-79.39293,Entire home/apt,195,5,76,0
Dovercourt-Wallace Emerson-Junction,43.66271,-79.42506,Private room,89,2,10,0
Palmerston-Little Italy,43.65958,-79.41257,Entire home/apt,75,1,0,0
North St.James Town,43.6704,-79.37574000000001,Private room,56,1,74,202
Birchcliffe-Cliffside,43.70519,-79.24774000000001,Private room,34,5,20,72
Woodbine Corridor,43.675670000000004,-79.3122,Private room,29,30,14,113
Woodbine Corridor,43.67638,-79.3102,Private room,30,28,9,0
Weston-Pellam Park,43.67368,-79.46032,Shared room,101,1,0,0
Roncesvalles,43.64372,-79.43283000000001,Shared room,70,1,3,348
South Parkdale,43.63912,-79.43946,Entire home/apt,95,4,10,0
Waterfront Communities-The Island,43.64271,-79.39244000000001,Entire home/apt,200,3,61,364
South Parkdale,43.63514,-79.42736,Entire home/apt,65,7,3,0
Junction Area,43.66203,-79.47818000000001,Entire home/apt,121,3,5,256
Niagara,43.63748,-79.40566,Entire home/apt,140,2,77,50
Morningside,43.78505,-79.20886999999999,Entire home/apt,250,4,12,229
Kensington-Chinatown,43.65805,-79.39601,Entire home/apt,85,4,29,0
Regent Park,43.65653,-79.36296999999999,Entire home/apt,50,2,0,0
Bay Street Corridor,43.654920000000004,-79.38185,Entire home/apt,140,2,41,364
East End-Danforth,43.68524,-79.2911,Entire home/apt,57,3,42,338
Annex,43.67038,-79.40463000000001,Entire home/apt,98,1,420,13
North St.James Town,43.66675,-79.37549,Entire home/apt,225,7,0,358
Mount Pleasant West,43.7024,-79.39664,Private room,65,3,91,19
Palmerston-Little Italy,43.65806,-79.41356,Private room,34,1,146,166
Rosedale-Moore Park,43.68356,-79.38266999999999,Private room,74,1,12,348
Kensington-Chinatown,43.65047,-79.39239,Private room,93,2,236,116
Humbermede,43.74975,-79.54777,Private room,38,1,134,317
Humbermede,43.749790000000004,-79.54896,Private room,45,1,53,335
High Park North,43.65848,-79.45408,Entire home/apt,101,5,15,0
Roncesvalles,43.653690000000005,-79.45178,Entire home/apt,250,2,17,350
High Park-Swansea,43.655409999999996,-79.45289,Entire home/apt,285,4,4,263
Waterfront Communities-The Island,43.648270000000004,-79.36607,Entire home/apt,144,2,3,277
Long Branch,43.59771,-79.5248,Private room,46,2,55,344
Bayview Village,43.76686,-79.38285,Entire home/apt,170,14,5,47
Waterfront Communities-The Island,43.644459999999995,-79.40268,Entire home/apt,189,3,41,0
Long Branch,43.597429999999996,-79.52484,Private room,41,2,108,331
Trinity-Bellwoods,43.65098,-79.41023,Private room,52,7,111,350
Niagara,43.63752,-79.41382,Entire home/apt,170,28,13,67
Roncesvalles,43.64111,-79.44660999999999,Entire home/apt,270,4,9,344
Leaside-Bennington,43.71445,-79.36336,Entire home/apt,98,2,146,334
Waterfront Communities-The Island,43.64015,-79.39331,Entire home/apt,150,7,19,269
High Park-Swansea,43.653940000000006,-79.45248000000001,Entire home/apt,205,3,9,317
Ionview,43.73273,-79.27358000000001,Entire home/apt,132,30,20,73
Cabbagetown-South St.James Town,43.66389,-79.3705,Private room,75,2,47,132
Church-Yonge Corridor,43.6598,-79.37992,Entire home/apt,189,28,77,11
Waterfront Communities-The Island,43.637570000000004,-79.39253000000001,Entire home/apt,93,180,6,13
Mount Pleasant West,43.70541,-79.39508000000001,Entire home/apt,75,5,43,149
Waterfront Communities-The Island,43.65018,-79.36801,Entire home/apt,139,6,0,0
Moss Park,43.656490000000005,-79.3715,Entire home/apt,75,30,24,292
Roncesvalles,43.653940000000006,-79.44922,Entire home/apt,95,14,2,288
Palmerston-Little Italy,43.66237,-79.41412,Entire home/apt,150,2,50,65
Waterfront Communities-The Island,43.64046,-79.39496,Entire home/apt,150,12,9,122
Waterfront Communities-The Island,43.64289,-79.39922,Entire home/apt,150,21,12,148
Junction Area,43.666000000000004,-79.46477,Entire home/apt,114,360,61,258
High Park-Swansea,43.64503,-79.45254,Entire home/apt,79,14,1,0
Junction Area,43.665279999999996,-79.47276,Entire home/apt,150,2,60,129
Waterfront Communities-The Island,43.640440000000005,-79.39541,Entire home/apt,150,10,13,73
Bay Street Corridor,43.66455,-79.38533000000001,Private room,115,1,165,326
Waterfront Communities-The Island,43.64071,-79.39318,Entire home/apt,130,2,4,0
Blake-Jones,43.674209999999995,-79.3418,Private room,64,1,70,349
Waterfront Communities-The Island,43.63989,-79.39035,Entire home/apt,150,3,33,41
Casa Loma,43.68249,-79.4046,Private room,159,1,76,362
Roncesvalles,43.641420000000004,-79.43952,Private room,45,2,52,43
Waterfront Communities-The Island,43.64633,-79.39260999999999,Entire home/apt,140,3,36,227
Dovercourt-Wallace Emerson-Junction,43.65854,-79.44323,Private room,45,1,287,354
Dovercourt-Wallace Emerson-Junction,43.66744,-79.42984,Private room,70,3,6,87
Dufferin Grove,43.65217,-79.43590999999999,Entire home/apt,45,1,25,12
Palmerston-Little Italy,43.65696,-79.42003000000001,Entire home/apt,87,2,33,124
Niagara,43.63528,-79.40189000000001,Private room,95,3,10,0
Danforth,43.68141,-79.3353,Private room,85,1,0,0
Regent Park,43.66101,-79.36323,Entire home/apt,85,4,5,0
Palmerston-Little Italy,43.654740000000004,-79.42532,Entire home/apt,85,3,161,42
Annex,43.67034,-79.39203,Entire home/apt,124,5,4,312
Little Portugal,43.65132,-79.43274,Private room,45,2,34,0
South Riverdale,43.66336,-79.34374,Entire home/apt,109,1,22,0
High Park-Swansea,43.644220000000004,-79.47561,Entire home/apt,91,1,144,325
Casa Loma,43.685359999999996,-79.40745,Shared room,68,7,0,0
Forest Hill South,43.68911,-79.41412,Entire home/apt,135,2,108,0
Moss Park,43.652429999999995,-79.36779,Private room,79,6,130,321
