neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Waterfront Communities-The Island,43.640209999999996,-79.3931,Entire home/apt,250,6,0,0
Tam O'Shanter-Sullivan,43.77045,-79.31194,Private room,79,1,3,0
Waterfront Communities-The Island,43.64213,-79.38225,Entire home/apt,200,1,134,102
Waterfront Communities-The Island,43.64213,-79.38147,Entire home/apt,200,1,21,84
Little Portugal,43.65119,-79.42599,Private room,50,3,10,170
North Riverdale,43.67808,-79.34769,Entire home/apt,65,1,140,114
Willowdale East,43.77755,-79.41445,Entire home/apt,189,30,0,348
Waterfront Communities-The Island,43.64455,-79.40035999999999,Entire home/apt,150,3,6,68
Waterfront Communities-The Island,43.64498,-79.39545,Entire home/apt,200,2,3,0
Black Creek,43.75897,-79.51046,Private room,38,2,3,0
Danforth East York,43.686409999999995,-79.34263,Entire home/apt,220,2,1,4
Waterfront Communities-The Island,43.63919,-79.39659,Entire home/apt,299,2,35,81
South Parkdale,43.63805,-79.43753000000001,Entire home/apt,150,30,1,0
Willowdale East,43.77728,-79.41065,Private room,50,7,0,256
Newtonbrook West,43.78467,-79.43974,Private room,68,1,42,83
Willowdale East,43.77856,-79.41027,Private room,40,7,2,0
Willowdale East,43.77189,-79.4064,Private room,87,2,7,248
Yonge-St.Clair,43.68142,-79.39846,Entire home/apt,175,4,3,70
Woburn,43.74938,-79.22721999999999,Entire home/apt,99,2,37,38
Waterfront Communities-The Island,43.648590000000006,-79.39058,Private room,110,2,51,330
Newtonbrook West,43.78367,-79.43863,Private room,50,1,8,0
Newtonbrook West,43.78487,-79.44009,Private room,58,1,67,84
Newtonbrook West,43.78354,-79.43824000000001,Private room,56,1,3,0
Stonegate-Queensway,43.63551,-79.48801999999999,Entire home/apt,101,1,10,174
Roncesvalles,43.65279,-79.449,Entire home/apt,89,4,6,19
West Humber-Clairville,43.725559999999994,-79.61498,Private room,40,1,12,365
Waterfront Communities-The Island,43.64291,-79.38128,Entire home/apt,175,28,5,330
South Parkdale,43.63839,-79.44079,Private room,30,1,34,0
Blake-Jones,43.67839,-79.34319,Entire home/apt,85,2,6,210
Annex,43.67497,-79.39048000000001,Entire home/apt,101,24,4,104
Kensington-Chinatown,43.65723,-79.40209,Shared room,25,1,46,62
Little Portugal,43.64225,-79.42452,Private room,66,180,23,90
Mount Dennis,43.68658,-79.48791999999999,Entire home/apt,73,3,13,75
Roncesvalles,43.652770000000004,-79.45092,Entire home/apt,128,2,26,0
Waterfront Communities-The Island,43.64413,-79.39010999999999,Entire home/apt,195,3,1,163
Bay Street Corridor,43.64601,-79.38515,Entire home/apt,250,1,38,81
Bayview Village,43.7739,-79.37874000000001,Entire home/apt,68,1,5,74
Islington-City Centre West,43.63828,-79.53734,Private room,34,29,0,265
Waterfront Communities-The Island,43.642559999999996,-79.38115,Entire home/apt,150,1,30,19
Niagara,43.644890000000004,-79.40850999999999,Private room,79,1,2,0
Bay Street Corridor,43.6577,-79.38371,Private room,101,1,21,132
Regent Park,43.660109999999996,-79.36461,Entire home/apt,90,27,1,73
Trinity-Bellwoods,43.65551,-79.40735,Entire home/apt,70,3,4,4
Waterfront Communities-The Island,43.642340000000004,-79.39950999999999,Entire home/apt,200,1,32,117
Mount Pleasant West,43.69894,-79.39146,Entire home/apt,110,2,0,0
Dovercourt-Wallace Emerson-Junction,43.66349,-79.43094,Entire home/apt,101,3,1,0
Annex,43.66985,-79.39333,Entire home/apt,97,1,43,48
Parkwoods-Donalda,43.75909,-79.31709000000001,Entire home/apt,68,2,35,223
Waterfront Communities-The Island,43.64138,-79.37951,Shared room,85,1,59,64
Yorkdale-Glen Park,43.72359,-79.45734,Entire home/apt,269,90,3,0
Annex,43.67476,-79.39757,Entire home/apt,119,1,107,151
Milliken,43.82379,-79.27245,Entire home/apt,170,2,8,0
Mimico (includes Humber Bay Shores),43.61967,-79.49801,Private room,40,2,9,72
Yorkdale-Glen Park,43.72364,-79.45614,Entire home/apt,139,1,13,0
Yorkdale-Glen Park,43.7226,-79.45593000000001,Entire home/apt,121,1,8,0
Agincourt South-Malvern West,43.77695,-79.28036999999999,Entire home/apt,135,2,37,326
Yorkdale-Glen Park,43.72384,-79.45733,Entire home/apt,109,1,24,0
Yorkdale-Glen Park,43.72228,-79.45767,Entire home/apt,99,1,16,0
Mount Pleasant West,43.71042,-79.3938,Private room,99,1,2,163
Waterfront Communities-The Island,43.64407,-79.39804000000001,Entire home/apt,250,1,20,0
Palmerston-Little Italy,43.657990000000005,-79.41171,Private room,95,1,45,42
Roncesvalles,43.64792,-79.44921,Entire home/apt,124,2,53,163
Moss Park,43.65059,-79.36771,Entire home/apt,130,90,7,267
Annex,43.67091,-79.39506999999999,Entire home/apt,289,1,1,302
Niagara,43.642959999999995,-79.40344,Private room,62,1,93,79
Agincourt South-Malvern West,43.789359999999995,-79.25028,Entire home/apt,79,1,50,148
Annex,43.66969,-79.39345,Entire home/apt,229,1,0,304
Roncesvalles,43.64914,-79.44913000000001,Entire home/apt,166,2,56,162
Ionview,43.73174,-79.2746,Private room,56,1,24,86
Rosedale-Moore Park,43.67111,-79.38575,Entire home/apt,160,90,0,317
Palmerston-Little Italy,43.6612,-79.41733,Entire home/apt,128,2,18,305
Palmerston-Little Italy,43.66258,-79.4182,Entire home/apt,170,2,21,306
Trinity-Bellwoods,43.65058,-79.41186,Private room,40,1,2,0
Willowdale East,43.77182,-79.40677,Private room,48,1,28,155
Yorkdale-Glen Park,43.72235,-79.45685,Private room,48,30,0,365
Niagara,43.64107,-79.41561,Entire home/apt,95,4,2,0
Trinity-Bellwoods,43.6518,-79.41102,Private room,73,1,16,137
Trinity-Bellwoods,43.651920000000004,-79.41149,Private room,93,1,11,140
Mount Pleasant West,43.71048,-79.39414000000001,Entire home/apt,150,1,1,316
Niagara,43.63595,-79.40550999999999,Entire home/apt,109,2,48,186
Niagara,43.64496,-79.40433,Private room,91,1,83,77
Waterfront Communities-The Island,43.64018,-79.38184,Private room,175,2,16,288
Yonge-Eglinton,43.710770000000004,-79.40393,Private room,101,2,9,14
Rouge,43.78405,-79.13094,Private room,45,1,4,348
York University Heights,43.77565,-79.52063000000001,Private room,38,6,2,265
Waterfront Communities-The Island,43.64647,-79.37455,Entire home/apt,150,1,22,0
Waterfront Communities-The Island,43.64258,-79.39308,Entire home/apt,158,3,4,0
Niagara,43.63844,-79.41532,Entire home/apt,200,1,126,142
Clanton Park,43.751509999999996,-79.43939,Private room,240,1,0,21
Annex,43.66995,-79.39327,Hotel room,170,1,36,89
Church-Yonge Corridor,43.6496,-79.37505,Entire home/apt,155,1,75,3
Kennedy Park,43.72198,-79.25358,Entire home/apt,211,2,47,349
Waterfront Communities-The Island,43.64162,-79.38104,Entire home/apt,250,1,11,82
Wychwood,43.67778,-79.428,Entire home/apt,73,2,18,130
Wychwood,43.67472,-79.42201,Entire home/apt,101,2,53,99
Yorkdale-Glen Park,43.7219,-79.45770999999999,Entire home/apt,119,1,13,0
Mimico (includes Humber Bay Shores),43.62124,-79.4826,Private room,150,1,0,0
Bay Street Corridor,43.65368,-79.38407,Private room,160,1,0,89
Trinity-Bellwoods,43.65181,-79.42272,Entire home/apt,121,2,19,178
Wychwood,43.67581,-79.43251,Entire home/apt,85,3,21,136
Church-Yonge Corridor,43.66048,-79.38078,Entire home/apt,200,1,1,0
Greenwood-Coxwell,43.68223,-79.32394000000001,Entire home/apt,89,2,46,65
Waterfront Communities-The Island,43.64097,-79.38235,Entire home/apt,299,1,41,21
Waterfront Communities-The Island,43.64328,-79.38039,Entire home/apt,132,2,77,145
North St.James Town,43.67068,-79.37576999999999,Private room,135,3,0,0
Old East York,43.6951,-79.34173,Entire home/apt,79,1,28,151
Waterfront Communities-The Island,43.64825,-79.38853,Entire home/apt,130,2,0,24
Woodbine Corridor,43.673559999999995,-79.31057,Entire home/apt,195,1,2,13
Moss Park,43.659729999999996,-79.37373000000001,Shared room,66,1,11,0
Roncesvalles,43.64421,-79.44224,Entire home/apt,250,30,0,0
Waterfront Communities-The Island,43.64423,-79.39798,Entire home/apt,150,2,0,0
Roncesvalles,43.64216,-79.43963000000001,Entire home/apt,75,1,123,62
North St.James Town,43.66745,-79.3753,Entire home/apt,124,2,18,24
Waterfront Communities-The Island,43.6434,-79.38874,Entire home/apt,188,1,58,159
Waterfront Communities-The Island,43.640229999999995,-79.39688000000001,Entire home/apt,109,29,6,323
Don Valley Village,43.78764,-79.36655,Private room,65,1,0,0
Wychwood,43.682990000000004,-79.42073,Private room,60,2,7,1
Niagara,43.63808,-79.41589,Entire home/apt,192,1,32,267
Mimico (includes Humber Bay Shores),43.61994,-79.49879,Private room,56,2,10,102
Waterfront Communities-The Island,43.641059999999996,-79.37801,Entire home/apt,128,1,43,0
Waterfront Communities-The Island,43.646609999999995,-79.39326,Entire home/apt,139,2,71,40
Yorkdale-Glen Park,43.72184,-79.45738,Entire home/apt,128,1,12,0
Willowridge-Martingrove-Richview,43.69153,-79.56553000000001,Entire home/apt,199,1,34,51
East End-Danforth,43.67732,-79.30743000000001,Entire home/apt,75,3,4,0
Annex,43.67082,-79.39403,Entire home/apt,150,2,80,324
Pleasant View,43.78698,-79.33854000000001,Private room,56,1,43,65
Islington-City Centre West,43.643570000000004,-79.52978,Entire home/apt,195,2,0,0
Yorkdale-Glen Park,43.72201,-79.45591999999999,Entire home/apt,139,2,11,0
Annex,43.67138,-79.39415,Entire home/apt,299,2,2,354
Waterfront Communities-The Island,43.637890000000006,-79.39699,Entire home/apt,299,1,17,337
Annex,43.67686,-79.3968,Private room,128,1,9,10
Bendale,43.74263,-79.256,Private room,105,7,6,350
Dovercourt-Wallace Emerson-Junction,43.66146,-79.43361999999999,Private room,25,1,58,28
Waterfront Communities-The Island,43.6445,-79.40265,Entire home/apt,150,1,60,49
Waterfront Communities-The Island,43.63987,-79.39598000000001,Entire home/apt,128,1,15,15
Waterfront Communities-The Island,43.6403,-79.38212,Entire home/apt,150,1,29,23
Dovercourt-Wallace Emerson-Junction,43.67075,-79.44069,Entire home/apt,101,2,4,3
Beechborough-Greenbrook,43.69408,-79.48091,Entire home/apt,200,1,1,0
Willowdale East,43.77447,-79.39326,Shared room,79,1,5,163
Trinity-Bellwoods,43.64765,-79.42384,Private room,52,1,23,270
Willowdale West,43.77302,-79.41974,Private room,69,1,4,0
Highland Creek,43.79246,-79.16548,Entire home/apt,94,2,12,266
Willowdale East,43.7662,-79.40499,Entire home/apt,90,2,23,140
Waterfront Communities-The Island,43.64327,-79.37744,Entire home/apt,199,2,48,75
Rustic,43.71204,-79.49523,Private room,101,1,20,98
Rustic,43.7117,-79.49701,Private room,60,1,15,98
Rustic,43.71313,-79.49694000000001,Private room,60,1,6,98
Rustic,43.71206,-79.49710999999999,Private room,70,1,12,98
Rustic,43.71325,-79.49523,Private room,60,1,11,98
Waterfront Communities-The Island,43.64335,-79.38994,Hotel room,199,1,47,354
Trinity-Bellwoods,43.64914,-79.42393,Private room,56,1,28,130
Rustic,43.71304,-79.49597,Private room,90,1,7,98
Trinity-Bellwoods,43.6494,-79.42384,Private room,56,1,38,143
Wexford/Maryvale,43.73226,-79.29715999999999,Private room,60,1,1,364
Dorset Park,43.77225,-79.28504000000001,Private room,38,1,1,363
Mount Olive-Silverstone-Jamestown,43.759170000000005,-79.59506,Entire home/apt,164,2,6,218
Waterfront Communities-The Island,43.64117,-79.38245,Entire home/apt,299,3,0,0
Trinity-Bellwoods,43.64974,-79.40841,Private room,131,1,29,26
South Parkdale,43.63493,-79.42596999999999,Private room,124,1,2,0
Trinity-Bellwoods,43.64945,-79.40817,Private room,101,1,29,43
Roncesvalles,43.64932,-79.44369,Entire home/apt,275,2,7,179
Birchcliffe-Cliffside,43.70397,-79.25069,Entire home/apt,135,2,64,67
North St.James Town,43.67094,-79.37608,Private room,212,2,12,254
Malvern,43.79323,-79.23286,Private room,25,1,5,89
Humber Heights-Westmount,43.69898,-79.53005999999999,Private room,33,3,2,346
Waterfront Communities-The Island,43.64842,-79.38903,Entire home/apt,225,1,1,0
Banbury-Don Mills,43.72939,-79.3323,Entire home/apt,110,5,7,59
Kensington-Chinatown,43.65364,-79.40032,Entire home/apt,110,1,34,35
West Hill,43.75998,-79.19852,Private room,50,1,82,358
Kensington-Chinatown,43.65378,-79.40048,Entire home/apt,79,1,35,36
Taylor-Massey,43.69554,-79.30400999999999,Entire home/apt,75,7,2,11
South Parkdale,43.63293,-79.43143,Entire home/apt,250,2,32,149
Kensington-Chinatown,43.65303,-79.39988000000001,Private room,60,1,44,80
Corso Italia-Davenport,43.68186,-79.4571,Entire home/apt,75,1,7,0
Waterfront Communities-The Island,43.64389,-79.39299,Entire home/apt,199,4,14,260
Milliken,43.819340000000004,-79.28995,Private room,30,1,9,256
Annex,43.67053,-79.40479,Entire home/apt,69,1,123,319
Islington-City Centre West,43.64993,-79.52757,Entire home/apt,69,1,32,9
Annex,43.6711,-79.39341,Entire home/apt,199,1,4,362
Annex,43.671079999999996,-79.39503,Entire home/apt,219,2,6,297
High Park-Swansea,43.64121,-79.44735,Entire home/apt,119,2,35,62
Cabbagetown-South St.James Town,43.66525,-79.37151,Entire home/apt,211,1,21,175
Lansing-Westgate,43.7539,-79.41662,Entire home/apt,121,2,40,315
Dovercourt-Wallace Emerson-Junction,43.67225,-79.44311,Entire home/apt,126,3,44,45
Willowridge-Martingrove-Richview,43.67603,-79.55686,Entire home/apt,89,1,20,164
Alderwood,43.59522,-79.54406,Entire home/apt,49,3,23,69
Waterfront Communities-The Island,43.64221,-79.38135,Entire home/apt,250,1,2,326
Moss Park,43.66097,-79.37226,Entire home/apt,69,12,1,0
Waterfront Communities-The Island,43.64393,-79.40172,Private room,60,1,86,40
Annex,43.669129999999996,-79.41832,Private room,49,1,71,128
Rexdale-Kipling,43.71765,-79.56459,Entire home/apt,60,2,13,45
Annex,43.67133,-79.39475,Hotel room,170,1,46,1
Church-Yonge Corridor,43.65338,-79.37442,Entire home/apt,101,2,1,87
Annex,43.67749,-79.39683000000001,Private room,99,2,29,42
Agincourt North,43.80462,-79.26993,Private room,70,2,0,287
Waterfront Communities-The Island,43.64246,-79.38215,Entire home/apt,81,2,42,66
Waterfront Communities-The Island,43.64308,-79.38795,Entire home/apt,250,1,9,340
Waterfront Communities-The Island,43.64143,-79.3983,Entire home/apt,189,28,5,278
York University Heights,43.767990000000005,-79.49594,Private room,38,5,3,261
High Park North,43.65597,-79.46005,Private room,56,2,48,157
Guildwood,43.74586,-79.2068,Private room,34,1,22,322
South Riverdale,43.66885,-79.33546,Entire home/apt,72,2,14,88
Palmerston-Little Italy,43.65985,-79.41888,Private room,75,2,9,73
Waterfront Communities-The Island,43.64145,-79.37796999999999,Entire home/apt,219,1,70,225
Dovercourt-Wallace Emerson-Junction,43.66397,-79.43628000000001,Entire home/apt,73,2,106,330
Weston-Pellam Park,43.676390000000005,-79.46455999999999,Private room,45,1,5,258
High Park North,43.65618,-79.45572,Entire home/apt,121,4,11,11
Niagara,43.63555,-79.40405,Entire home/apt,85,2,47,24
Waterfront Communities-The Island,43.63995,-79.38389000000001,Entire home/apt,121,2,34,119
Long Branch,43.592079999999996,-79.52141,Entire home/apt,101,2,1,64
York University Heights,43.762240000000006,-79.50375,Entire home/apt,75,2,15,108
Dovercourt-Wallace Emerson-Junction,43.67065,-79.42152,Entire home/apt,110,2,49,165
Roncesvalles,43.64329,-79.43609000000001,Private room,42,1,36,158
Tam O'Shanter-Sullivan,43.77831,-79.29823,Entire home/apt,172,7,2,167
Dovercourt-Wallace Emerson-Junction,43.665929999999996,-79.43283000000001,Private room,38,5,21,28
North St.James Town,43.66897,-79.3737,Entire home/apt,101,3,5,0
Waterfront Communities-The Island,43.63984,-79.39743,Entire home/apt,175,2,9,53
Cliffcrest,43.7147,-79.23132,Entire home/apt,168,2,4,58
St.Andrew-Windfields,43.75254,-79.38087,Private room,52,1,1,178
Runnymede-Bloor West Village,43.663709999999995,-79.49049000000001,Entire home/apt,75,1,11,74
Waterfront Communities-The Island,43.64792,-79.39729,Entire home/apt,150,1,54,158
Waterfront Communities-The Island,43.641529999999996,-79.38148000000001,Entire home/apt,166,2,53,84
Church-Yonge Corridor,43.659440000000004,-79.38078,Entire home/apt,150,2,0,182
Waterfront Communities-The Island,43.64239,-79.38154,Entire home/apt,113,1,61,62
Church-Yonge Corridor,43.65537,-79.37418000000001,Entire home/apt,75,1,14,189
Mount Pleasant West,43.71199,-79.39582,Entire home/apt,99,2,38,61
Willowdale East,43.76325,-79.40906,Entire home/apt,159,5,4,355
Little Portugal,43.64224,-79.42373,Entire home/apt,150,2,8,349
Cabbagetown-South St.James Town,43.67038,-79.37019000000001,Entire home/apt,75,2,11,0
Woburn,43.767379999999996,-79.22399999999999,Entire home/apt,65,1,22,0
Tam O'Shanter-Sullivan,43.77293,-79.31165,Entire home/apt,75,2,18,73
Waterfront Communities-The Island,43.64515,-79.38962,Entire home/apt,150,2,27,167
Bayview Village,43.76809,-79.37079,Private room,60,20,9,0
Runnymede-Bloor West Village,43.6624,-79.49186,Entire home/apt,90,1,3,86
Waterfront Communities-The Island,43.64516,-79.38982,Entire home/apt,242,2,38,173
St.Andrew-Windfields,43.74866,-79.38305,Private room,90,1,1,181
Waterfront Communities-The Island,43.63978,-79.39837,Shared room,45,1,10,0
Church-Yonge Corridor,43.654990000000005,-79.37963,Entire home/apt,150,3,13,162
Bedford Park-Nortown,43.73581,-79.43093,Entire home/apt,175,3,14,273
Newtonbrook West,43.78772,-79.42835,Entire home/apt,99,3,3,0
South Parkdale,43.63793,-79.43798000000001,Entire home/apt,130,3,6,11
Dovercourt-Wallace Emerson-Junction,43.66657,-79.42008,Entire home/apt,179,3,21,8
Bendale,43.76645,-79.26995,Private room,60,2,27,50
Highland Creek,43.79583,-79.18226999999999,Entire home/apt,75,1,29,355
Palmerston-Little Italy,43.65848,-79.42482,Private room,101,2,19,163
Corso Italia-Davenport,43.67631,-79.44811999999999,Entire home/apt,130,4,0,287
Bay Street Corridor,43.649840000000005,-79.38646999999999,Entire home/apt,124,2,1,36
South Riverdale,43.65934,-79.34529,Entire home/apt,121,2,5,0
The Beaches,43.66668,-79.3032,Entire home/apt,170,2,69,120
Kensington-Chinatown,43.65271,-79.39973,Private room,75,3,2,47
Playter Estates-Danforth,43.677279999999996,-79.35421,Entire home/apt,90,1,42,145
Willowdale East,43.7695,-79.39163,Private room,33,1,27,71
North St.James Town,43.66984,-79.37406999999999,Private room,50,1,42,93
Highland Creek,43.79600000000001,-79.18019,Private room,46,1,6,335
Waterfront Communities-The Island,43.64589,-79.38971,Entire home/apt,113,1,63,47
West Humber-Clairville,43.73538,-79.59223,Private room,45,4,1,363
Don Valley Village,43.77854,-79.36346999999999,Entire home/apt,101,1,27,86
Steeles,43.81726,-79.30533,Private room,48,1,14,75
Regent Park,43.6589,-79.36003000000001,Private room,79,2,2,0
Waterfront Communities-The Island,43.63994,-79.39761,Private room,121,2,15,72
Willowdale West,43.775459999999995,-79.42238,Entire home/apt,199,2,5,40
Cabbagetown-South St.James Town,43.66602,-79.37649,Entire home/apt,249,2,41,48
Cabbagetown-South St.James Town,43.66607,-79.37688,Private room,53,1,43,53
Dovercourt-Wallace Emerson-Junction,43.66887,-79.42355,Entire home/apt,81,7,64,0
Birchcliffe-Cliffside,43.70534,-79.25273,Entire home/apt,200,1,13,0
Waterfront Communities-The Island,43.64731,-79.39839,Entire home/apt,200,2,20,167
High Park North,43.65538,-79.47254000000001,Entire home/apt,90,1,44,5
Corso Italia-Davenport,43.67535,-79.44843,Entire home/apt,205,4,4,352
Willowdale West,43.7747,-79.42565,Private room,101,1,1,0
Mimico (includes Humber Bay Shores),43.626259999999995,-79.47714,Entire home/apt,90,28,1,287
Lansing-Westgate,43.763729999999995,-79.41331,Private room,46,2,15,177
South Parkdale,43.6408,-79.43351,Entire home/apt,195,3,58,143
Niagara,43.64181,-79.40424,Entire home/apt,94,3,71,67
Lansing-Westgate,43.754,-79.41993000000001,Private room,45,1,1,0
Willowdale East,43.77198,-79.40809,Private room,48,1,36,166
Maple Leaf,43.70729,-79.48635,Entire home/apt,50,1,8,254
Tam O'Shanter-Sullivan,43.77796,-79.29199,Private room,34,1,9,317
Niagara,43.63814,-79.40165999999999,Entire home/apt,195,1,7,90
Cabbagetown-South St.James Town,43.66626,-79.37416999999999,Private room,50,1,42,0
Roncesvalles,43.643370000000004,-79.43656,Entire home/apt,150,2,1,0
Waterfront Communities-The Island,43.64186,-79.3788,Entire home/apt,200,15,5,169
Victoria Village,43.722429999999996,-79.30885,Private room,49,2,20,356
York University Heights,43.75251,-79.50421999999999,Entire home/apt,195,2,39,0
West Humber-Clairville,43.7341,-79.59043,Private room,45,3,2,363
Dovercourt-Wallace Emerson-Junction,43.65998,-79.45152,Entire home/apt,197,2,7,13
Downsview-Roding-CFB,43.73062,-79.47041,Entire home/apt,150,1,31,176
Humewood-Cedarvale,43.698609999999995,-79.42484,Entire home/apt,95,1,13,15
Junction Area,43.6656,-79.45959,Entire home/apt,65,5,26,0
West Humber-Clairville,43.7339,-79.59044,Private room,45,3,1,363
South Parkdale,43.6406,-79.42662,Entire home/apt,124,2,9,0
North St.James Town,43.67,-79.37321999999999,Entire home/apt,114,2,0,108
Lansing-Westgate,43.75908,-79.42975,Entire home/apt,160,2,30,71
York University Heights,43.762609999999995,-79.50169,Entire home/apt,99,1,23,159
Casa Loma,43.68775,-79.41235999999999,Private room,79,5,0,39
Willowdale East,43.77932,-79.41385,Entire home/apt,170,3,37,111
Little Portugal,43.64307,-79.42246999999999,Entire home/apt,101,2,7,0
Willowdale East,43.77451,-79.41253,Entire home/apt,121,1,14,0
Thorncliffe Park,43.7044,-79.34987,Entire home/apt,90,2,2,0
York University Heights,43.753890000000006,-79.50431,Entire home/apt,220,2,8,256
Annex,43.67207,-79.40729,Entire home/apt,220,2,20,0
Newtonbrook East,43.78367,-79.41009,Private room,40,335,0,362
Willowridge-Martingrove-Richview,43.688590000000005,-79.5677,Entire home/apt,99,1,145,64
High Park-Swansea,43.64125,-79.47746,Entire home/apt,200,30,0,71
Newtonbrook West,43.77922,-79.41968,Entire home/apt,179,28,0,166
Malvern,43.79782,-79.2209,Private room,28,4,8,103
Waterfront Communities-The Island,43.64105,-79.38062,Entire home/apt,150,1,4,14
Waterfront Communities-The Island,43.642759999999996,-79.38183000000001,Entire home/apt,195,3,78,150
Annex,43.6692,-79.41846,Private room,49,1,58,132
Waterfront Communities-The Island,43.64077,-79.38261,Entire home/apt,200,1,97,87
Woodbine-Lumsden,43.68918,-79.31043000000001,Private room,85,1,4,5
Old East York,43.70047,-79.32028000000001,Entire home/apt,189,7,11,0
Downsview-Roding-CFB,43.733979999999995,-79.48685,Private room,45,2,3,340
Rexdale-Kipling,43.715720000000005,-79.56381,Private room,60,1,14,30
Tam O'Shanter-Sullivan,43.773140000000005,-79.31739,Entire home/apt,50,1,41,145
Bay Street Corridor,43.667840000000005,-79.38744,Entire home/apt,250,2,18,317
Newtonbrook East,43.785379999999996,-79.41336,Private room,75,1,0,356
Waterfront Communities-The Island,43.64181,-79.38123,Entire home/apt,130,1,76,94
Woodbine-Lumsden,43.690540000000006,-79.31051,Entire home/apt,195,2,3,29
Bay Street Corridor,43.65132,-79.38257,Entire home/apt,170,1,82,110
Agincourt North,43.8005,-79.27832,Private room,128,1,0,89
Malvern,43.79915,-79.22100999999999,Private room,34,5,1,138
South Parkdale,43.64066,-79.42801999999999,Private room,83,1,9,362
Willowdale West,43.77366,-79.42766999999999,Private room,70,1,3,0
Kennedy Park,43.725809999999996,-79.26961999999999,Entire home/apt,128,2,14,184
Church-Yonge Corridor,43.661390000000004,-79.37902,Private room,119,1,36,0
Malvern,43.79869,-79.22142,Private room,23,4,4,88
North Riverdale,43.67276,-79.35303,Entire home/apt,73,2,25,116
Moss Park,43.658,-79.36967,Entire home/apt,97,2,15,0
Waterfront Communities-The Island,43.63785,-79.39698,Entire home/apt,144,10,0,0
Downsview-Roding-CFB,43.73002,-79.46929,Entire home/apt,119,1,9,176
Waterfront Communities-The Island,43.63975,-79.39816,Private room,121,1,28,242
The Beaches,43.67185,-79.30761,Private room,60,3,6,319
Willowdale East,43.76194,-79.40871,Entire home/apt,128,5,5,346
Lawrence Park South,43.72316,-79.40984,Entire home/apt,290,2,15,0
Waterfront Communities-The Island,43.6451,-79.37599,Entire home/apt,140,2,20,0
Cabbagetown-South St.James Town,43.665079999999996,-79.36886,Private room,65,1,5,295
Cabbagetown-South St.James Town,43.66386,-79.36995999999999,Private room,89,1,3,268
Moss Park,43.66384,-79.36979000000001,Private room,99,1,1,358
Humber Heights-Westmount,43.69274,-79.5184,Entire home/apt,282,2,19,159
Malvern,43.797740000000005,-79.22274,Private room,23,4,7,164
Rexdale-Kipling,43.71548,-79.56344,Private room,58,1,11,0
Waterfront Communities-The Island,43.6426,-79.38087,Entire home/apt,150,1,110,95
Waterfront Communities-The Island,43.641259999999996,-79.38011,Entire home/apt,101,2,111,68
Waterfront Communities-The Island,43.64107,-79.38257,Entire home/apt,138,2,39,56
Annex,43.66646,-79.40791999999999,Entire home/apt,121,2,32,115
Willowdale East,43.767309999999995,-79.41038,Private room,48,60,2,266
Trinity-Bellwoods,43.65378,-79.41181,Private room,78,1,6,141
Waterfront Communities-The Island,43.64309,-79.37214,Entire home/apt,119,7,29,40
Dufferin Grove,43.65653,-79.44521,Entire home/apt,121,3,0,0
Waterfront Communities-The Island,43.64457,-79.39001999999999,Entire home/apt,99,2,65,65
Downsview-Roding-CFB,43.73404,-79.48572,Private room,34,2,7,78
Downsview-Roding-CFB,43.73561,-79.48589,Private room,34,2,12,292
Downsview-Roding-CFB,43.734809999999996,-79.48769,Private room,34,2,24,267
Birchcliffe-Cliffside,43.68524,-79.27081,Private room,50,2,0,85
Waterfront Communities-The Island,43.64366,-79.39031999999999,Entire home/apt,99,2,54,59
South Riverdale,43.65783,-79.34505,Entire home/apt,107,10,5,356
Willowdale East,43.77225,-79.40755,Private room,60,1,39,164
Annex,43.6705,-79.39477,Entire home/apt,192,2,35,105
Dovercourt-Wallace Emerson-Junction,43.665440000000004,-79.42357,Private room,65,1,1,154
Dovercourt-Wallace Emerson-Junction,43.664840000000005,-79.42396,Private room,75,1,6,162
Mount Pleasant West,43.70917,-79.3917,Entire home/apt,128,15,12,86
Waterfront Communities-The Island,43.6425,-79.38214,Entire home/apt,150,1,91,40
Milliken,43.82002,-79.28935,Private room,30,1,2,44
Waterfront Communities-The Island,43.6423,-79.38141999999999,Entire home/apt,150,1,42,82
Trinity-Bellwoods,43.6524,-79.41295,Private room,90,1,2,104
Centennial Scarborough,43.7894,-79.14267,Entire home/apt,199,1,6,44
West Humber-Clairville,43.72907,-79.62346,Entire home/apt,124,1,35,333
York University Heights,43.751090000000005,-79.50531,Private room,38,5,11,15
Corso Italia-Davenport,43.67869,-79.43982,Entire home/apt,90,7,3,54
Yorkdale-Glen Park,43.7143,-79.454,Private room,50,1,6,0
Willowdale East,43.76085,-79.41054,Entire home/apt,99,1,4,74
Church-Yonge Corridor,43.663270000000004,-79.38358000000001,Entire home/apt,200,1,42,96
Bay Street Corridor,43.65055,-79.38696,Entire home/apt,140,5,0,0
Dovercourt-Wallace Emerson-Junction,43.66876,-79.42685999999999,Private room,79,1,9,0
East End-Danforth,43.685520000000004,-79.31173000000001,Entire home/apt,99,7,13,73
Islington-City Centre West,43.639070000000004,-79.53549,Private room,119,1,4,0
Kensington-Chinatown,43.65318,-79.40446,Private room,40,2,8,56
Newtonbrook West,43.78455,-79.43004,Entire home/apt,85,1,4,0
Keelesdale-Eglinton West,43.6827,-79.46767,Entire home/apt,95,1,23,362
